id;label;type
q-mors;mors;query
q-letum;letum;query
q-morior;morior;query
0;Topic 1;topic
1;Topic 2;topic
2;Topic 3;topic
3;Topic 4;topic
4;Topic 5;topic
5;Topic 6;topic
6;Topic 7;topic
7;Topic 8;topic
8;Topic 9;topic
9;Topic 10;topic
10;Topic 11;topic
11;Topic 12;topic
12;Topic 13;topic
13;Topic 14;topic
14;Topic 15;topic
15;Topic 16;topic
16;Topic 17;topic
17;Topic 18;topic
18;Topic 19;topic
19;Topic 20;topic
20;Topic 21;topic
21;Topic 22;topic
22;Topic 23;topic
23;Topic 24;topic
24;Topic 25;topic
25;Topic 26;topic
26;Topic 27;topic
27;Topic 28;topic
28;Topic 29;topic
29;Topic 30;topic
30;Topic 31;topic
31;Topic 32;topic
32;Topic 33;topic
33;Topic 34;topic
34;Topic 35;topic
35;Topic 36;topic
36;Topic 37;topic
37;Topic 38;topic
38;Topic 39;topic
39;Topic 40;topic
40;Topic 41;topic
41;Topic 42;topic
42;Topic 43;topic
43;Topic 44;topic
44;Topic 45;topic
45;Topic 46;topic
46;Topic 47;topic
47;Topic 48;topic
48;Topic 49;topic
49;Topic 50;topic
arruns;arruns;lemma
camilla;camilla;lemma
turnus;turnus;lemma
simul;simul;lemma
soror;soror;lemma
hasta;hasta;lemma
pars;pars;lemma
teucros;teucros;lemma
ter;ter;lemma
huc;huc;lemma
hinc;hinc;lemma
pallanta;pallanta;lemma
rutuli;rutuli;lemma
donec;donec;lemma
turno;turno;lemma
turbidus;turbidus;lemma
telum;telum;lemma
turnum;turnum;lemma
genitor;genitor;lemma
contra;contra;lemma
arruns;arruns;lemma
camilla;camilla;lemma
camillae;camillae;lemma
camillam;camillam;lemma
acca;acca;lemma
exspiro;exspiro;lemma
domina;domina;lemma
uulnere;uulnere;lemma
curuata;curuata;lemma
arruntem;arruntem;lemma
dercenni;dercenni;lemma
multatam;multatam;lemma
furentum;furentum;lemma
dianam;dianam;lemma
threissa;threissa;lemma
tyrrhenique;tyrrhenique;lemma
troianosque;troianosque;lemma
accam;accam;lemma
opis;opis;lemma
turbidus;turbidus;lemma
lausum;lausum;lemma
lauso;lauso;lemma
diu;diu;lemma
rogus;rogus;lemma
soror;soror;lemma
antoren;antoren;lemma
adclinis;adclinis;lemma
genitor;genitor;lemma
lausoque;lausoque;lemma
mezentius;mezentius;lemma
rhaebe;rhaebe;lemma
lausique;lausique;lemma
tiberini;tiberini;lemma
toro;toro;lemma
gradus;gradus;lemma
trunco;trunco;lemma
arator;arator;lemma
dardanio;dardanio;lemma
lausus;lausus;lemma
anchisiades;anchisiades;lemma
euryalum;euryalum;lemma
lausum;lausum;lemma
pallanta;pallanta;lemma
rogus;rogus;lemma
lauso;lauso;lemma
gradus;gradus;lemma
toro;toro;lemma
ultor;ultor;lemma
dardaniique;dardaniique;lemma
celerabat;celerabat;lemma
annam;annam;lemma
lympha;lympha;lemma
rutuli;rutuli;lemma
turnus;turnus;lemma
tyros;tyros;lemma
sidonios;sidonios;lemma
karthago;karthago;lemma
exuuiae;exuuiae;lemma
ter;ter;lemma
uolcentem;uolcentem;lemma
euryalum;euryalum;lemma
uolcentem;uolcentem;lemma
euryali;euryali;lemma
uolcens;uolcens;lemma
messapi;messapi;lemma
euryalus;euryalus;lemma
euryale;euryale;lemma
pallanta;pallanta;lemma
ibi;ibi;lemma
uolcente;uolcente;lemma
nisus;nisus;lemma
hyrtacus;hyrtacus;lemma
latonia;latonia;lemma
fraus;fraus;lemma
amicum;amicum;lemma
temere;temere;lemma
transabiit;transabiit;lemma
atrox;atrox;lemma
sulmonis;sulmonis;lemma
tago;tago;lemma
pallanta;pallanta;lemma
euandrum;euandrum;lemma
pyrrhus;pyrrhus;lemma
priami;priami;lemma
latini;latini;lemma
palla;palla;lemma
danai;danai;lemma
neoptolemum;neoptolemum;lemma
troum;troum;lemma
teucros;teucros;lemma
pallante;pallante;lemma
creüsa;creüsa;lemma
ter;ter;lemma
primitiae;primitiae;lemma
pompa;pompa;lemma
phrygum;phrygum;lemma
pyras;pyras;lemma
saetigerosque;saetigerosque;lemma
felicia;felicia;lemma
latium;latium;lemma
pyrrhus;pyrrhus;lemma
priami;priami;lemma
neoptolemum;neoptolemum;lemma
somnus;somnus;lemma
iterum;iterum;lemma
danai;danai;lemma
creüsa;creüsa;lemma
somnos;somnos;lemma
frondeo;frondeo;lemma
erebumque;erebumque;lemma
mola;mola;lemma
laomedonteae;laomedonteae;lemma
hinc;hinc;lemma
reuolsus;reuolsus;lemma
nomadumque;nomadumque;lemma
pyra;pyra;lemma
aethiopum;aethiopum;lemma
tyriis;tyriis;lemma
hecaten;hecaten;lemma
praeterea;praeterea;lemma
turnus;turnus;lemma
pyrrhus;pyrrhus;lemma
priami;priami;lemma
lucagus;lucagus;lemma
neoptolemum;neoptolemum;lemma
currus;currus;lemma
turnum;turnum;lemma
frater;frater;lemma
creüsa;creüsa;lemma
dudum;dudum;lemma
laurentia;laurentia;lemma
euandrum;euandrum;lemma
latebras;latebras;lemma
latebra;latebra;lemma
